standard,lemma,postag
his,his,po
particular,particular,j
journey,journey,n1
and,and,cc
devotion,devotion,n1
vowed,vow,vvn
to,to,acp-p
the,the,d
holy,holy,j
Lady,lady,n1
of,of,acp-p
Loretto,Loretto,n1-nn
Was,be,vvd
long,long,av_j
since,since,acp-cs
past,past,j
and,and,cc
he,he,pns
upon,upon,acp-p
return,return,n1
Hen.,Hen.,n-ab
In,in,acp-p
him,he,pno
as,as,acp-cs
in,in,acp-p
a,a,d
crystal,crystal,n1
that,that,cs
is,be,vvz
charmed,charm,vvn
I,I,pns
shall,shall,vmb
discern,discern,vvi
by,by,acp-p
whom,who,crq-ro
and,and,cc
what,what,crq-q
designs,design,n2
My,my,po
rule,rule,n1
is,be,vvz
threatened,threaten,vvn
and,and,cc
that,that,d
sacred,sacred,j
power,power,n1
That,that,cs
hath,have,vvz
enabled,enable,vvn
this,this,d
defensive,defensive,j
arm,arm,n1
When,when,crq-cs
I,I,pns
enjoyed,enjoy,vvd
but,but,acp-av
in,in,acp-p
an,a,d
unequal,unequal,j
Nook,nook,n1
Of,of,acp-p
that,that,d
I,I,pns
now,now,av
possess,possess,vvi
to,to,acp-cs
front,front,vvi
a,a,d
King,king,n1
Far,far,av_j
my,my,po
Superior,superior,j
And,and,cc
from,from,acp-p
twelve,twelve,crd
set,set,j_vn
battles,battle,n2
March,march,vvb
home,home,av_n
a,a,d
victor,victor,n1
ten,ten,crd
of,of,acp-p
them,they,pno
obtained,obtain,vvd
Without,without,acp-p
my,my,po
personal,personal,j
service,service,n1
will,will,vmb
not,not,xx
see,see,vvi
A,a,d
traitorous,traitorous,j
subject,subject,j
foil,foil,n1
me,i,pno
and,and,cc
so,so,av
end,end,vvi
What,what,crq-q
his,his,po
hand,hand,n1
hath,have,vvz
with,with,acp-p
such,such,d
success,success,n1
begun,begin,vvn
Enter,enter,vvb
a,a,d
Lady,lady,n1
and,and,cc
a,a,d
Nurse,nurse,n1
bringing,bring,vvg
the,the,d
Daulphine,daulphine,n1
Esp.,Esp.,n-ab
See,see,vvb
the,the,d
young,young,j
dauphin,dauphin,n1
brought,bring,vvd
to,to,acp-cs
cheer,cheer,vvi
your,your,po
highness,highness,n1
Hen.,Hen.,n-ab
My,my,po
royal,royal,j
blessing,blessing,n1
and,and,cc
the,the,d
King,king,n1
of,of,acp-p
heaven,heaven,n1
Make,make,vvb
thee,thou,pno
an,a,d
aged,age,j_vn
and,and,cc
a,a,d
happy,happy,j
King,king,n1
Help,help,vvb
Nurse,nurse,n1
to,to,acp-cs
put,put,vvi
my,my,po
sword,sword,n1
into,into,acp-p
his,his,po
hand,hand,n1
Hold,hold,vvb
Boy,boy,n1
by,by,acp-p
this,this,d
and,and,cc
with,with,acp-p
it,it,pn
may,may,vmb
thy,thy,po
arm,arm,n1
Cut,cut,vvn
from,from,acp-p
thy,thy,po
tree,tree,n1
of,of,acp-p
rule,rule,n1
all,all,d
traitorous,traitorous,j
branches,branch,n2
That,that,cs
strive,strive,vvb
to,to,acp-p
shadow,shadow,n1
and,and,cc
eclipse,eclipse,vvi
thy,thy,po
glories,glory,n2
Have,have,vvb
thy,thy,po
old,old,j
father's,father,n1g
angel,angel,n1
for,for,acp-p
thy,thy,po
guide,guide,n1
Redoubled,redouble,vvn
be,be,vvb
his,his,po
spirit,spirit,n1
in,in,acp-p
thy,thy,po
breast,breast,n1
Who,who,crq-r
when,when,crq-cs
this,this,d
State,state,n1
ran,run,vvd
like,like,acp-p
a,a,d
turbulent,turbulent,j
sea,sea,n1
In,in,acp-p
civil,civil,j
hates,hate,n2
and,and,cc
bloody,bloody,j
enmity,enmity,n1
Their,their,po
wraths,wrath,n2
and,and,cc
envies,envy,n2
like,like,acp-p
so,so,av
many,many,d
winds,wind,n2
Settled,settle,j_vn
and,and,cc
burst,burst,vvn
and,and,cc
like,like,acp-p
the,the,d
halcyon's,halcyon,n1g
birth,birth,n1
Be,be,vvb
thine,thou,png
to,to,acp-cs
bring,bring,vvi
a,a,d
calm,calm,j
upon,upon,acp-p
the,the,d
shore,shore,n1
In,in,acp-p
which,which,crq-r
the,the,d
eyes,eye,n2
of,of,acp-p
war,war,n1
may,may,vmb
ever,ever,av
sleep,sleep,vvi
As,as,acp-cs
overmatched,overmatch,vvn
with,with,acp-p
former,former,j
massacres,massacre,n2
When,when,crq-cs
guilty,guilty,j
made,make,vvd
Noblesse,noblesse,n1
feed,feed,vvb
on,on,acp-p
Noblesse,noblesse,n1
All,all,d
the,the,d
sweet,sweet,j
plenty,plenty,n1
of,of,acp-p
the,the,d
realm,realm,n1
exhausted,exhaust,vvn
When,when,crq-cs
the,the,d
naked,naked,j
merchant,merchant,n1
was,be,vvd
pursued,pursue,vvn
for,for,acp-p
spoil,spoil,n1
When,when,crq-cs
the,the,d
poor,poor,j
Peasants,peasant,n2
frighted,fright,vvn
neediest,needy,j-s
thieves,thief,n2
With,with,acp-p
their,their,po
pale,pale,j
leanness,leanness,n1
nothing,nothing,pi-x
left,leave,vvn
on,on,acp-p
them,they,pno
But,but,acp-av
meager,meager,j
carcases,carcase,n2
sustained,sustain,vvn
with,with,acp-p
air,air,n1
wand'ring,wander,vvg
like,like,acp-p
Ghosts,ghost,n2
affrighted,affright,vvn
from,from,acp-p
their,their,po
graves,grave,n2
When,when,crq-cs
with,with,acp-p
the,the,d
often,often,av
and,and,cc
incessant,incessant,j
sounds,sound,n2
The,the,d
very,very,j
beasts,beast,n2
knew,know,vvd
the,the,d
alarum,alarm,n1
bell,bell,n1
And,and,cc
hearing,hear,vvg
it,it,pn
ran,run,vvd
bellowing,bellow,vvg
to,to,acp-p
their,their,po
home,home,n1
From,from,acp-p
which,which,crq-r
unchristian,unchristian,j
broils,broil,n2
and,and,cc
homicides,homicide,n2
Let,let,vvb
the,the,d
religious,religious,j
sword,sword,n1
of,of,acp-p
justice,justice,n1
free,free,vvb
Thee,thou,pno
and,and,cc
thy,thy,po
kingdoms,kingdom,n2
