standard,lemma,postag
see,see,vvi
him,he,pno
every,every,d
hour,hour,n1
to,to,acp-cs
sit,sit,vvi
and,and,cc
draw,draw,vvi
His,his,po
archèd,arch,j_vn
brows,brow,n2
his,his,po
hawking,hawk,j_vg
eye,eye,n1
his,his,po
curls,curl,n2
In,in,acp-p
our,our,po
heart's,heart,n1g
table,table,n1
heart,heart,n1
too,too,av
capable,capable,j
Of,of,acp-p
every,every,d
line,line,n1
and,and,cc
trick,trick,n1
of,of,acp-p
his,his,po
sweet,sweet,j
favor,favour,n1
But,but,acp-cc
now,now,av
he's,he|be,pns|vvz
gone,go,vvn
and,and,cc
my,my,po
idolatrous,idolatrous,j
fancy,fancy,n1
Must,must,vmb
sanctify,sanctify,vvi
his,his,po
relics,relic,n2
Who,who,crq-q
comes,come,vvz
here,here,av
Enter,,
Parolles,,
One,one,pi
that,that,cs
goes,go,vvz
with,with,acp-p
him,he,pno
I,i,pns
love,love,vvb
him,he,pno
for,for,acp-p
his,his,po
sake,sake,n1
And,and,cc
yet,yet,av
I,i,pns
know,know,vvb
him,he,pno
a,a,d
notorious,notorious,j
liar,liar,n1
Think,think,vvb
him,he,pno
a,a,d
great,great,j
way,way,n1
fool,fool,n1
solely,sole,av_j
a,a,d
coward,coward,n1
Yet,yet,av
these,these,d
fixed,fix,j_vn
evils,evil,n2_j
sit,sit,vvb
so,so,av
fit,fit,j
in,in,acp-p
him,he,pno
That,that,cs
they,they,pns
take,take,vvb
place,place,n1
when,when,crq-cs
virtue's,virtue,n1g
steely,steely,j
bones,bone,n2
Looks,look,vvz
bleak,bleak,j
i',in,acp-p
th',the,d
cold,cold,j
wind,wind,n1
Withal,withal,av
full,full,j
oft,oft,av
we,we,pns
see,see,vvb
Cold,cold,j
wisdom,wisdom,n1
waiting,wait,vvg
on,on,acp-p
superfluous,superfluous,j
folly,folly,n1
PAROLLES,,
Save,save,vvb
you,you,pn
fair,fair,j
queen,queen,n1
HELEN,,
And,and,cc
you,you,pn
monarch,monarch,n1
PAROLLES,,
No,no,uh-x
HELEN,,
And,and,cc
no,no,uh-x
PAROLLES,,
Are,be,vvb
you,you,pn
meditating,meditate,vvg
on,on,acp-p
virginity,virginity,n1
HELEN,,
Ay,ay,uh
You,you,pn
have,have,vvb
some,some,d
stain,stain,n1
of,of,acp-p
soldier,soldier,n1
in,in,acp-p
you,you,pn
let,let,vvb
me,i,pno
ask,ask,vvi
you,you,pn
a,a,d
question,question,n1
Man,man,n1
is,be,vvz
enemy,enemy,n1
to,to,acp-p
virginity,virginity,n1
How,how,crq-cs
may,may,vmb
we,we,pns
barricado,barricado,n1
it,it,pn
against,against,acp-p
him,he,pno
PAROLLES,,
Keep,keep,vvb
him,he,pno
out,out,av
HELEN,,
But,but,acp-cc
he,he,pns
assails,assail,vvz
and,and,cc
our,our,po
virginity,virginity,n1
though,though,cs
valiant,valiant,j
in,in,acp-p
the,the,d
defense,defence,n1
yet,yet,av
is,be,vvz
weak,weak,j
Unfold,unfold,vvd
to,to,acp-p
us,we,pno
some,some,d
warlike,warlike,j
resistance,resistance,n1
PAROLLES,,
There,there,acp-av
is,be,vvz
none,none,pi-x
Man,man,n1
setting,set,vvg
down,down,acp-av
before,before,acp-p
you,you,pn
will,will,vmb
undermine,undermine,vvi
you,you,pn
and,and,cc
blow,blow,vvi
you,you,pn
up,up,acp-av
HELEN,,
Bless,bless,vvb
our,our,po
poor,poor,j
virginity,virginity,n1
from,from,acp-p
underminers,underminer,n2
and,and,cc
blowers-up,blower-up,n2
Is,be,vvz
there,there,acp-av
no,no,d-x
military,military,j
policy,policy,n1
how,how,crq-cs
virgins,virgin,n2
might,may,vmd
blow,blow,vvi
up,up,acp-av
men,man,n2
PAROLLES,,
Virginity,virginity,n1
being,be,vvg
blown,blow,vvn
down,down,acp-av
man,man,n1
will,will,vmb
quicklier,quick,av-c_j
be,be,vvi
blown,blow,vvn
up,up,acp-av
Marry,marry,uh
in,in,acp-p
blowing,blow,vvg
him,he,pno
down,down,acp-av
again,again,av
with,with,acp-p
the,the,d
breach,breach,n1
yourselves,yourselves,px
made,make,vvd
