standard,lemma,postag
Thou,thou,pns
for,for,acp-p
wages,wage,n2
followest,follow,vv2
thy,thy,po
master,master,n1
thy,thy,po
master,master,n1
for,for,acp-p
wages,wage,n2
follows,follow,vvz
not,not,xx
thee,thou,pno
Therefore,therefore,av
thou,thou,pns
art,be,vv2
a,a,d
sheep,sheep,n1
SPEED,,
Such,such,d
another,another,d
proof,proof,n1
will,will,vmb
make,make,vvi
me,i,pno
cry,cry,vvi
baa,baa,uh
PROTEUS,,
But,but,acp-cc
dost,do,vv2
thou,thou,pns
hear,hear,vvi
Gav'st,give,vvd2
thou,thou,pns
my,my,po
letter,letter,n1
to,to,acp-p
Julia,Julia,n1-nn
SPEED,,
Ay,ay,uh
sir,sir,n1
I,i,pns
a,a,d
lost,lose,j_vn
mutton,mutton,n1
gave,give,vvd
your,your,po
letter,letter,n1
to,to,acp-p
her,she,pno
a,a,d
laced,lace,j_vn
mutton,mutton,n1
and,and,cc
she,she,pns
a,a,d
laced,lace,j_vn
mutton,mutton,n1
gave,give,vvd
me,i,pno
a,a,d
lost,lose,j_vn
mutton,mutton,n1
nothing,nothing,pi-x
for,for,acp-p
my,my,po
labor,labour,n1
PROTEUS,,
Here's,here|be,av|vvz
too,too,av
small,small,j
a,a,d
pasture,pasture,n1
for,for,acp-p
such,such,d
store,store,n1
of,of,acp-p
muttons,mutton,n2
SPEED,,
If,if,cs
the,the,d
ground,ground,n1
be,be,vvb
overcharged,overcharge,vvn
you,you,pn
were,be,vvd
best,best,av-s_j
stick,stick,vvb
her,she,pno
PROTEUS,,
Nay,nay,uh
in,in,acp-p
that,that,cs
you,you,pn
are,be,vvb
astray,astray,av
'twere,it|be,pn|vvd
best,best,j-s
pound,pound,vvi
you,you,pn
SPEED,,
Nay,nay,uh
sir,sir,n1
less,less,av-c_d
than,than,cs
a,a,d
pound,pound,n1
shall,shall,vmb
serve,serve,vvi
me,i,pno
for,for,acp-p
carrying,carry,vvg
your,your,po
letter,letter,n1
PROTEUS,,
You,you,pn
mistake,mistake,vvb
I,i,pns
mean,mean,vvb
the,the,d
pound,pound,n1
a,a,d
pinfold,pinfold,n1
SPEED,,
From,from,acp-p
a,a,d
pound,pound,n1
to,to,acp-p
a,a,d
pin,pin,n1
Fold,fold,vvb
it,it,pn
over,over,acp-av
and,and,cc
over,over,acp-av
'Tis,it|be,pn|vvz
threefold,threefold,av_j
too,too,av
little,little,j
for,for,acp-p
carrying,carry,vvg
a,a,d
letter,letter,n1
to,to,acp-p
your,your,po
lover,lover,n1
PROTEUS,,
But,but,acp-cc
what,what,crq-q
said,say,vvd
she,she,pns
SPEED,,
nodding,,
Ay,ay,uh
PROTEUS,,
Nod,nod,uh
Ay,ay,av
Why,why,crq-cs
that's,that|be,d|vvz
noddy,noddy,n1
SPEED,,
You,you,pn
mistook,mistake,vvd
sir,sir,n1
I,i,pns
say,say,vvb
she,she,pns
did,do,vvd
