standard,lemma,postag
Hecate,Hecate,n1-nn
and,and,cc
the,the,d
night,night,n1
By,by,acp-p
all,all,d
the,the,d
operation,operation,n1
of,of,acp-p
the,the,d
orbs,orb,n2
From,from,acp-p
whom,who,crq-ro
we,we,pns
do,do,vvb
exist,exist,vvi
and,and,cc
cease,cease,vvi
to,to,acp-cs
be,be,vvi
Here,here,av
I,i,pns
disclaim,disclaim,vvb
all,all,d
my,my,po
paternal,paternal,j
care,care,n1
Propinquity,propinquity,n1
and,and,cc
property,property,n1
of,of,acp-p
blood,blood,n1
And,and,cc
as,as,acp-p
a,a,d
stranger,stranger,n1
to,to,acp-p
my,my,po
heart,heart,n1
and,and,cc
me,i,pno
Hold,hold,vvb
thee,thou,pno
from,from,acp-p
this,this,d
forever,forever,av
The,the,d
barbarous,barbarous,j
Scythian,Scythian,j-nn
Or,or,cc
he,he,pns
that,that,cs
makes,make,vvz
his,his,po
generation,generation,n1
messes,mess,n2
To,to,acp-p
gorge,gorge,vvi
his,his,po
appetite,appetite,n1
shall,shall,vmb
to,to,acp-p
my,my,po
bosom,bosom,n1
Be,be,vvb
as,as,acp-av
well,well,av
neighbored,neighbour,vvn
pitied,pity,vvn
and,and,cc
relieved,relieve,vvn
As,as,acp-cs
thou,thou,pns
my,my,po
sometime,sometime,av
daughter,daughter,n1
KENT,,
Good,good,j
my,my,po
liege,liege,n1
LEAR,,
Peace,peace,n1
Kent,Kent,n1-nn
Come,come,vvb
not,not,xx
between,between,acp-p
the,the,d
dragon,dragon,n1
and,and,cc
his,his,po
wrath,wrath,n1
I,i,pns
loved,love,vvd
her,her,po
most,most,av-s_d
and,and,cc
thought,think,vvd
to,to,acp-cs
set,set,vvi
my,my,po
rest,rest,n1
On,on,acp-p
her,her,po
kind,kind,j
nursery,nursery,n1
To,,
Cordelia,,
Hence,hence,av
and,and,cc
avoid,avoid,vvb
my,my,po
sight,sight,n1
So,so,av
be,be,vvb
my,my,po
grave,grave,n1
my,my,po
peace,peace,n1
as,as,acp-cs
here,here,av
I,i,pns
give,give,vvb
Her,her,po
father's,father,n1g
heart,heart,n1
from,from,acp-p
her,she,pno
Call,call,vvb
France,France,n1-nn
Who,who,crq-q
stirs,stir,vvz
Call,call,vvb
Burgundy,Burgundy,n1-nn
An,,
Attendant,,
exits,,
Cornwall,Cornwall,n1-nn
and,and,cc
Albany,Albany,n1-nn
With,with,acp-p
my,my,po
two,two,crd
daughters',daughter,n2g
dowers,dower,n2
digest,digest,vvb
the,the,d
third,three,ord
Let,let,vvb
pride,pride,n1
which,which,crq-r
she,she,pns
calls,call,vvz
plainness,plainness,n1
marry,marry,vvi
her,she,pno
I,i,pns
do,do,vvb
invest,invest,vvi
you,you,pn
jointly,joint,av_j
with,with,acp-p
my,my,po
power,power,n1
Preeminence,preeminence,n1
and,and,cc
all,all,d
the,the,d
large,large,j
effects,effect,n2
That,that,cs
troop,troop,vvb
with,with,acp-p
majesty,majesty,n1
Ourself,ourself,px
by,by,acp-p
monthly,monthly,j
course,course,n1
With,with,acp-p
reservation,reservation,n1
of,of,acp-p
an,a,d
hundred,hundred,crd
knights,knight,n2
By,by,acp-p
you,you,pn
to,to,acp-cs
be,be,vvi
sustained,sustain,vvn
shall,shall,vmb
our,our,po
abode,abode,n1
Make,make,vvi
with,with,acp-p
you,you,pn
by,by,acp-p
due,due,j
turn,turn,n1
Only,only,av_j
we,we,pns
shall,shall,vmb
retain,retain,vvi
The,the,d
name,name,n1
and,and,cc
all,all,d
th',the,d
addition,addition,n1
to,to,acp-p
a,a,d
king,king,n1
The,the,d
sway,sway,n1
revenue,revenue,n1
execution,execution,n1
of,of,acp-p
the,the,d
rest,rest,n1
Belovèd,belove,j_vn
sons,son,n2
be,be,vvb
yours,you,png
which,which,crq-r
to,to,acp-cs
confirm,confirm,vvi
This,this,d
coronet,coronet,n1
part,part,vvb
between,between,acp-p
you,you,pn
KENT,,
Royal,royal,j
Lear,Lear,n1-nn
Whom,who,crq-ro
I,i,pns
have,have,vvb
ever,ever,av
honored,honour,vvn
as,as,acp-p
my,my,po
king,king,n1
Loved,love,vvn
as,as,acp-p
my,my,po
father,father,n1
as,as,acp-p
my,my,po
master,master,n1
followed,follow,vvd
As,as,acp-p
my,my,po
great,great,j
patron,patron,n1
thought,think,vvd
on,on,acp-av
in,in,acp-p
my,my,po
prayers,prayer,n2
LEAR,,
The,the,d
bow,bow,n1
is,be,vvz
bent,bend,vvn
and,and,cc
drawn,draw,vvn
Make,make,vvb
from,from,acp-p
the,the,d
shaft,shaft,n1
KENT,,
Let,let,vvb
it,it,pn
fall,fall,vvi
rather,rather,av-c
though,though,cs
the,the,d
fork,fork,n1
invade,invade,vvb
The,the,d
region,region,n1
